variables,variables,Gini-importance
0,singleplayer,0.19270366430282593
1,steam cloud,0.053634773939847946
2,indie,0.04941025376319885
3,multiplayer,0.04667441546916962
4,anime,0.042816512286663055
5,very_cheap,0.03268946334719658
6,action,0.02745315618813038
7,steam trading cards,0.025867491960525513
8,great_soundtrack,0.024713266640901566
9,strategy,0.018295612186193466
10,vr,0.018217192962765694
11,classic,0.01820586808025837
12,adventure,0.017587311565876007
13,funny,0.015774691477417946
14,mac,0.014119932428002357
15,family_friendly,0.0131918266415596
16,memes,0.012731165625154972
17,visual_novel,0.01259674970060587
18,puzzle,0.01138446293771267
19,free,0.010868707671761513
20,online co-op,0.010861383751034737
21,dark_comedy,0.01025017537176609
22,point_&_click,0.009781009517610073
23,steam workshop,0.009721535257995129
24,comedy,0.00962231308221817
25,pixel_graphics,0.008355354890227318
26,achievements,0.007805487606674433
27,music,0.0076355962082743645
28,text_based,0.007242146879434586
29,sexual_content,0.007077599875628948
30,web_publishing,0.0068663060665130615
31,simulation,0.006534552201628685
32,platformer,0.006338859908282757
33,exploration,0.00631124060600996
34,colorful,0.006199760362505913
35,horror,0.006110961548984051
36,english,0.006104962434619665
37,atmospheric,0.006027430761605501
38,time_management,0.0059652142226696014
39,rogue_like,0.005911833140999079
40,minimalist,0.005813736002892256
41,racing,0.0057074823416769505
42,rhythm,0.005669666454195976
43,vr support,0.005459306761622429
44,mmo,0.005421989131718874
45,stylized,0.005401631351560354
46,difficult,0.005391123238950968
47,short,0.005162347108125687
48,faith,0.005016597453504801
49,tower_defense,0.005008445121347904
50,commentary available,0.004890878684818745
51,vr_only,0.004551804158836603
52,rpg,0.004539962392300367
53,avg_price,0.004529162775725126
54,world_war_ii,0.004425881430506706
55,replay_value,0.0043726046569645405
56,nudity,0.004318927880376577
57,game_development,0.004099919926375151
58,psychological,0.003992570098489523
59,in-app purchases,0.003919557202607393
60,puzzle_platformer,0.003903852077201009
61,massively_multiplayer,0.003826779779046774
62,crafting,0.00359029951505363
63,gore,0.0035445557441562414
64,arcade,0.003475538454949856
65,pvp,0.0034232886973768473
66,dark_humor,0.0033959131687879562
67,procedural_generation,0.0033531812950968742
68,violent,0.003232616698369384
69,dark_fantasy,0.0031914350111037493
70,relaxing,0.00309939356520772
71,shooter,0.0030267713591456413
72,experimental,0.003014577552676201
73,military,0.0028702409472316504
74,cyberpunk,0.0028220966923981905
75,fantasy,0.0027376078069210052
76,baseball,0.0023701319005340338
77,2d,0.002311428776010871
78,space_sim,0.0022369003854691982
79,expensive,0.0020727224182337523
80,female_protagonist,0.0019262511050328612
81,walking_simulator,0.0018715554615482688
82,fps,0.0018064631149172783
83,historical,0.001800954225473106
84,zombies,0.0017568237381055951
85,city_builder,0.00174117018468678
86,shoot_em_up,0.0017109723994508386
87,sports,0.0015606877859681845
88,action_adventure,0.0015342921251431108
89,early_access,0.0015332639450207353
90,heist,0.0015062213642522693
91,linear,0.0013774216640740633
92,capitalism,0.001354336622171104
93,mmorpg,0.0013265494490042329
94,surreal,0.0013238860992714763
95,controller,0.0012765913270413876
96,souls_like,0.001138203893788159
97,partial controller support,0.0009719086810946465
98,america,0.0008947679307311773
99,steam achievements,0.0007584091508761048
