feature,coef
rogue_like,0.03748329
point_&_click,0.029617156
visual_novel,0.029197
great_soundtrack,0.026274478
steam trading cards,0.024247822
avg_price,0.023480269
funny,0.02224151
arcade,0.022069446
classic,0.021434378
cyberpunk,0.017947582
music,0.017829745
pixel_graphics,0.01776215
shoot_em_up,0.017122101
rhythm,0.016470605
vr,0.015933073
comedy,0.015809361
minimalist,0.014908139
baseball,0.01452221
short,0.013384908
arcade,0.011395864
2d,0.011372289
horror,0.010981639
game_development,0.010789963
female_protagonist,0.01054776
multiplayer,0.010158781
military,0.009660296
memes,0.009607624
action_adventure,0.009603772
faith,0.009240085
cyberpunk,0.009017127
relaxing,0.008810928
anime,0.007918766
steam cloud,0.007674314
fps,0.007428682
time_management,0.007208937
web_publishing,0.007158856
city_builder,0.007091615
controller,0.006862297
fantasy,0.006004473
steam workshop,0.005844416
exploration,0.005421053
gore,0.005083149
text_based,0.005069008
fps,0.004128763
dark_fantasy,0.003943334
rpg,0.003888735
nudity,0.00362352
sexual_content,0.003007694
crafting,0.002841631
surreal,0.002667976
strategy,0.001992423
vr support,0.001595251
racing,0.001487137
online co-op,0.001401811
dark_comedy,0.001083882
historical,0.000589683
commentary available,0.000553532
city_builder,0.00040366
vr_only,0.000266044
expensive,-5.89E-05
achievements,-0.000362406
pvp,-0.000977483
mac,-0.0010463
capitalism,-0.001124983
simulation,-0.001423569
free,-0.001620655
world_war_ii,-0.001679638
experimental,-0.001901795
mmo,-0.001922004
mmorpg,-0.002062013
difficult,-0.002143661
in-app purchases,-0.002647036
massively_multiplayer,-0.002724258
zombies,-0.002985148
heist,-0.003346878
dark_humor,-0.00345113
atmospheric,-0.003854911
walking_simulator,-0.004253252
shooter,-0.004415967
action,-0.004698018
psychological,-0.005197981
violent,-0.005456044
space_sim,-0.005658364
early_access,-0.007001351
souls_like,-0.00736449
family_friendly,-0.008515385
sports,-0.008606661
partial controller support,-0.009178884
adventure,-0.009958967
puzzle_platformer,-0.010111057
procedural_generation,-0.012400055
indie,-0.012759835
replay_value,-0.012779135
souls_like,-0.018148055
violent,-0.01866536
stylized,-0.021194255
linear,-0.025707027
colorful,-0.027518791
very_cheap,-0.069369317
english,-0.082784249
