feature,coef
steam cloud,0.47878984633490307
steam trading cards,0.451289773165347
mac,0.3505479796044673
steam achievements,0.19448909272035933
steam workshop,0.15334680352806274
avg_price,0.13006892668694567
cats,0.11871331562909511
web_publishing,0.11589899916021465
text_based,0.115478610351629
on_rails_shooter,0.08147048622887271
1990s,0.06306314427873023
philisophical,0.06137452555950843
minimalist,0.05990322630912894
slightly_expensive,0.05969638822435497
classic,0.05558797406856807
thriller,0.05416474067640803
rhythm,0.0416730932723767
software,0.03967510703534057
music_based_procedural_generation,0.038530047146263756
visual_novel,0.037540601269650815
memes,0.037174112242089614
music,0.036641744222227886
vr,0.03561465009412396
pinball,0.03544693439817115
rogue_like,0.03374517771388277
photo_editing,0.03362692987245805
rpgmaker,0.03359311388057668
point_&_click,0.0335322218479743
puzzle,0.033089126746386054
short,0.033009951748772554
local_co_op,0.031140531905811036
level_editor,0.029985437556409394
pixel_graphics,0.029686109529333066
real_time_with_pause,0.026453085116977172
platformer,0.02592900866165965
tower_defense,0.02500518763999438
top_down_shooter,0.024747604510068112
shoot_em_up,0.024402193215295583
singleplayer,0.018604747762574685
psychological_horror,0.018462296268467994
anime,0.01763925217971742
great_soundtrack,0.017615960651331072
interactive_fiction,0.0166067968317289
card_game,0.014073734606070261
team_based,0.01390308794165612
beat_em_up,0.01311888936204009
world_war_ii,0.01305732459945621
rts,0.012731424467751565
sexual_content,0.01232467215438055
martial_arts,0.011852833887774493
comedy,0.01180889891687828
parody_,0.011324328863624625
relaxing,0.011161423687418426
exploration,0.009976988649426597
multiplayer,0.0070974916711751684
female_protagonist,0.00598971691936081
remake,0.005040575945951658
pirates,0.003442889490256949
perma_death,0.0021741156216024196
old_school,-0.0016588714219912134
futuristic,-0.0022518723764570463
competitive,-0.0034980524406308428
fighting,-0.0037787608700039325
massively_multiplayer,-0.004101104736359857
replay_value,-0.006445746880226583
abstract,-0.007295686883367081
real_time_tactics,-0.00902411282442579
procedural_generation,-0.00925631562541639
co_op,-0.00961693474080164
family_friendly,-0.01012375851105982
dark,-0.010949718696714732
dark_humor,-0.01269320959677221
psychological,-0.014046347781647142
otome,-0.015234327193525778
walking_simulator,-0.016258030992801188
release_october,-0.020173906412562954
release_august,-0.021798563232408672
audio_production,-0.023069696987680192
action_adventure,-0.02507455552792792
colorful,-0.03159639591305302
puzzle_platformer,-0.03227130197161813
stylized,-0.0384286633324569
release_tuesday,-0.04853573725893985
word_game,-0.050863573399610104
release_december,-0.05447484187452569
psychedelic,-0.05566398066096928
release_april,-0.05986097785894819
partial controller support,-0.062077133346932295
release_september,-0.06511470942863277
release_february,-0.07924293696460635
local multi-player,-0.08311051674105761
release_thursday,-0.08467757960578114
release_november,-0.08584543242957787
release_january,-0.08623426966861594
release_wednesday,-0.09517043498626308
dog,-0.16611620403382737
release_friday,-0.17661094884499084
cheap,-0.2650346793694768
english,-0.6979517396955642
very_cheap,-0.7534247793166907
