feature,coef
steam cloud,0.543201919
steam trading cards,0.527995096
mac,0.375559343
steam achievements,0.241917057
steam workshop,0.179376827
avg_price,0.166347432
cats,0.117619354
web_publishing,0.08500017
slightly_expensive,0.083158264
text_based,0.078996428
1990s,0.076940215
classic,0.053513387
minimalist,0.046835321
level_editor,0.04418194
on_rails_shooter,0.043917537
rogue_like,0.040962189
vr,0.037870237
pinball,0.037808731
visual_novel,0.034509056
point_&_click,0.033536646
photo_editing,0.029667685
puzzle,0.029063235
local_co_op,0.028765646
real_time_with_pause,0.028519202
platformer,0.026786434
pixel_graphics,0.026637233
memes,0.025875947
tower_defense,0.025611557
music,0.023614129
top_down_shooter,0.023441505
rpgmaker,0.023296855
thriller,0.023274785
shoot_em_up,0.022821029
short,0.022476503
philisophical,0.021152293
rhythm,0.019102057
martial_arts,0.019050044
singleplayer,0.018913557
comedy,0.018787684
parody_,0.01777648
great_soundtrack,0.017640339
card_game,0.01754562
relaxing,0.016860128
psychological_horror,0.016469453
software,0.015819929
beat_em_up,0.015668434
world_war_ii,0.013736254
anime,0.01288402
music_based_procedural_generation,0.012866649
team_based,0.012555113
rts,0.012195289
perma_death,0.010943724
pirates,0.010860857
sexual_content,0.010090097
exploration,0.009054068
female_protagonist,0.006952774
word_game,0.0059914
remake,0.005951587
multiplayer,0.00394496
massively_multiplayer,-0.002629012
competitive,-0.003123242
fighting,-0.003799174
old_school,-0.004449384
futuristic,-0.0048185
co_op,-0.00590476
dark_humor,-0.005956422
otome,-0.007055309
dark,-0.007935854
abstract,-0.008419493
replay_value,-0.009025737
family_friendly,-0.009688333
psychological,-0.010658319
interactive_fiction,-0.01069721
walking_simulator,-0.011751379
real_time_tactics,-0.013963262
release_october,-0.014294978
release_august,-0.014395246
puzzle_platformer,-0.021943421
action_adventure,-0.027984566
release_december,-0.029413767
procedural_generation,-0.032385143
colorful,-0.033058667
stylized,-0.034167312
partial controller support,-0.045821679
psychedelic,-0.046037633
release_tuesday,-0.052751993
audio_production,-0.058769357
release_september,-0.072979354
release_april,-0.075276174
release_thursday,-0.075620122
local multi-player,-0.081052371
dog,-0.085816314
release_november,-0.095364694
release_january,-0.098639429
release_february,-0.102977382
release_wednesday,-0.10350074
release_friday,-0.184854523
cheap,-0.303987686
english,-0.71690032
very_cheap,-0.8331098
